At. num,Sp. Name,Ion Charge,El. Name,Binding Energy (a) (eV),Uncertainty (b) (eV)
"20","Ca VI","+5","Calcium","18290","4"
"20","Ca VII","+6","Calcium","18181","4"
"20","Ca VIII","+7","Calcium","18053","4"
"20","Ca IX","+8","Calcium","17907","4"
"20","Ca X","+9","Calcium","17717","4"
"20","Ca XI","+10","Calcium","17507","4"
"20","Ca XII","+11","Calcium","16915","4"
"20","Ca XIII","+12","Calcium","16257","3"
"20","Ca XIV","+13","Calcium","15528.2","1.7"
"20","Ca XV","+14","Calcium","14711.0","1.1"
"20","Ca XVI","+15","Calcium","13817.0","0.7"
"20","Ca XVII","+16","Calcium","12843.3","0.4"
"20","Ca XVIII","+17","Calcium","11756.447","0.007"
"20","Ca XIX","+18","Calcium","10598.7212","0.0003"
"20","Ca XX","+19","Calcium","5469.86358","0.00006"
"21","Sc I","0","Scandium","20788","5"
"21","Sc II","+1","Scandium","20781","5"
"21","Sc III","+2","Scandium","20769","5"
"21","Sc IV","+3","Scandium","20744","5"
"21","Sc V","+4","Scandium","20671","5"
"21","Sc VI","+5","Scandium","20578","5"
"21","Sc VII","+6","Scandium","20467","5"
"21","Sc VIII","+7","Scandium","20330","4"
"21","Sc IX","+8","Scandium","20171","4"
"21","Sc X","+9","Scandium","19991","4"
"21","Sc XI","+10","Scandium","19767","4"
"21","Sc XII","+11","Scandium","19516","4"
"21","Sc XIII","+12","Scandium","18829","4"
"21","Sc XIV","+13","Scandium","18072","4"
"21","Sc XV","+14","Scandium","17238.3","2.0"
"21","Sc XVI","+15","Scandium","16311.7","1.2"
"21","Sc XVII","+16","Scandium","15303.1","0.9"
"21","Sc XVIII","+17","Scandium","14209.7","0.5"
"21","Sc XIX","+18","Scandium","12996.616","0.007"
"21","Sc XX","+19","Scandium","11708.6600","0.0004"
"21","Sc XXI","+20","Scandium","6033.75643","0.00009"
"22","Ti I","0","Titanium","23221","6"
"22","Ti II","+1","Titanium","23215","6"
"22","Ti III","+2","Titanium","23201","6"
"22","Ti IV","+3","Titanium","23174","6"
"22","Ti V","+4","Titanium","23130","6"
"22","Ti VI","+5","Titanium","23031","6"
"22","Ti VII","+6","Titanium","22911","6"
"22","Ti VIII","+7","Titanium","22771","5"
"22","Ti IX","+8","Titanium","22600","5"
"22","Ti X","+9","Titanium","22408","5"
"22","Ti XI","+10","Titanium","22192","5"
"22","Ti XII","+11","Titanium","21927","5"
"22","Ti XIII","+12","Titanium","21635","5"
"22","Ti XIV","+13","Titanium","20848","5"
"22","Ti XV","+14","Titanium","19984","4"
"22","Ti XVI","+15","Titanium","19039.5","2.2"
"22","Ti XVII","+16","Titanium","17996.9","1.5"
"22","Ti XVIII","+17","Titanium","16866.7","1.0"
"22","Ti XIX","+18","Titanium","15646.4","0.5"
"22","Ti XX","+19","Titanium","14300.089","0.007"
"22","Ti XXI","+20","Titanium","12874.8328","0.0006"
"22","Ti XXII","+21","Titanium","6625.81023","0.00010"
"23","V I","0","Vanadium","25820","7"
"23","V II","+1","Vanadium","25812","7"
"23","V III","+2","Vanadium","25797","7"
"23","V IV","+3","Vanadium","25769","7"
"23","V V","+4","Vanadium","25722","7"
"23","V VI","+5","Vanadium","25656","7"
"23","V VII","+6","Vanadium","25528","7"
"23","V VIII","+7","Vanadium","25378","7"
"23","V IX","+8","Vanadium","25205","7"
"23","V X","+9","Vanadium","24998","6"
"23","V XI","+10","Vanadium","24768","6"
"23","V XII","+11","Vanadium","24513","6"
"23","V XIII","+12","Vanadium","24204","6"
